C_gbcode,C_source,N_pinyin,N_local,H,A,change,P,fromdate,todate
130903,GB,Cangzhou: Yunhe qu,Cangzhou: Yunhe qu,3,2,,0,19831115,19941231
130904,GB,Cangzhou: Jiaoqu,Cangzhou: Jiaoqu,3,2,,0,19831115,19941231
130921,GB,Cang xian,Cang xian,3,5,CH,0,19831115,19941231
130922,GB,Qing xian,Qing xian,3,5,CH,0,19860405,19941231
130923,GB,Dongguang,Dongguang,3,5,CH,0,19930619,19941231
130924,GB,Haixing,Haixing,3,5,CH,0,19930619,19941231
130925,GB,Yanshan,Yanshan,3,5,CH,0,19930619,19941231
130926,GB,Suning,Suning,3,5,CH,0,19930619,19941231
130927,GB,Nanpi,Nanpi,3,5,CH,0,19930619,19941231
130928,GB,Wuqiao,Wuqiao,3,5,CH,0,19930619,19941231
130929,GB,Xian xian,Xian xian,3,5,CH,0,19930619,19941231
130930,GB,Mengcun Hui zizhixian,Mengcun Hui zizhixian,3,6,CH,0,19930619,19941231
130981,GB,Potou shi,Potou shi,9,3,CH,0,19930619,19941231
130982,GB,Renqiu shi,Renqiu shi,9,3,CH,0,19930619,19941231
130983,GB,Huanghua shi,Huanghua shi,9,3,CH,0,19930619,19941231
130984,GB,Hejian shi,Hejian shi,9,3,CH,0,19930619,19941231
131000,GB,Langfang shi,Langfang shi,0,0,CHAT,3,19880913,19941231
131001,GB,Langfang shixiaqu,Langfang shixiaqu,3,1,,0,19880913,19941231
131002,GB,Langfang: Anci qu,Langfang: Anci qu,3,2,CHAT,0,19880913,19941231
131021,GB,Sanhe,Sanhe,3,5,CH,0,19880913,19930302
131022,GB,Gu`an,Gu`an,3,5,CH,0,19880913,19941231
131023,GB,Yongqing,Yongqing,3,5,CH,0,19880913,19941231
131024,GB,Xianghe,Xianghe,3,5,CH,0,19880913,19941231
131025,GB,Daicheng,Daicheng,3,5,CH,0,19880913,19941231
131026,GB,Wen`an,Wen`an,3,5,CH,0,19880913,19941231
131027,GB,Ba xian,Ba xian,3,5,CH,0,19880913,19900103
131028,GB,Dachang Huizu zizhixian,Dachang Huizu zizhixian,3,6,CH,0,19880913,19941231
131081,GB,Bazhou shi,Bazhou shi,9,3,CNA,0,19900104,19941231
131082,GB,Sanhe shi,Sanhe shi,9,3,CHA,0,19930303,19941231
132100,GB,Handan diqu,Handan diqu,0,0,T,6,19860405,19930618
132100,GB,Handan diqu,Handan diqu,0,0,T,6,19831115,19860404
132100,GB,Handan diqu,Handan diqu,0,0,,6,19820101,19831114
132101,GB,Handan shi,Handan shi,6,3,,0,19820101,19831114
132121,GB,Daming,Daming,6,5,,0,19820101,19930618
132122,GB,Wei xian,Wei xian,6,5,,0,19820101,19930618
132123,GB,Quzhou,Quzhou,6,5,,0,19820101,19930618
132124,GB,Qiu xian,Qiu xian,6,5,,0,19820101,19930618
132125,GB,Jize,Jize,6,5,,0,19820101,19930618
132126,GB,Feixiang,Feixiang,6,5,,0,19820101,19930618
132127,GB,Guangping,Guangping,6,5,,0,19820101,19930618
132128,GB,Cheng`an,Cheng`an,6,5,,0,19820101,19930618
132129,GB,Linzhang,Linzhang,6,5,,0,19820101,19930618
132130,GB,Ci xian,Ci xian,6,5,,0,19820101,19930618
132131,GB,Wu`an,Wu`an,6,5,,0,19820101,19861201
132132,GB,She xian,She xian,6,5,,0,19820101,19930618
132133,GB,Yongnian,Yongnian,6,5,,0,19820101,19930618
132134,GB,Handan,Handan,6,5,,0,19820101,19830314
132135,GB,Guantao,Guantao,6,5,,0,19820101,19930618
132200,GB,Xingtai diqu,Xingtai diqu,0,0,,6,19820101,19860404
132200,GB,Xingtai diqu,Xingtai diqu,0,0,T,6,19860405,19930618
132201,GB,Xingtai shi,Xingtai shi,6,3,,0,19820101,19831114
132201,GB,Nangong shi,Nangong shi,6,3,CA,0,19860305,19930618
132202,GB,Shahe shi,Shahe shi,6,3,CA,0,19870220,19930618
132221,GB,Xingtai,Xingtai,6,5,,0,19820101,19860404
132222,GB,Shahe,Shahe,6,5,,0,19820101,19870219
132223,GB,Lincheng,Lincheng,6,5,,0,19820101,19930618
132224,GB,Neiqiu,Neiqiu,6,5,,0,19820101,19930618
132225,GB,Baixiang,Baixiang,6,5,,0,19820101,19930618
132226,GB,Longyao,Longyao,6,5,,0,19820101,19930618
132227,GB,Ren xian,Ren xian,6,5,,0,19820101,19930618
132228,GB,Nanhe,Nanhe,6,5,,0,19820101,19930618
132229,GB,Ningjin,Ningjin,6,5,,0,19820101,19930618
132230,GB,Nangong,Nangong,6,5,,0,19820101,19860304
132231,GB,Julu,Julu,6,5,,0,19820101,19930618
132232,GB,Xinhe,Xinhe,6,5,,0,19820101,19930618
132233,GB,Guangzong,Guangzong,6,5,,0,19820101,19930618
132234,GB,Pingxiang,Pingxiang,6,5,,0,19820101,19930618
132235,GB,Wei xian,Wei xian,6,5,,0,19820101,19930618
132236,GB,Qinghe,Qinghe,6,5,,0,19820101,19930618
132237,GB,Linxi,Linxi,6,5,,0,19820101,19930618
132300,GB,Shijiazhuang diqu,Shijiazhuang diqu,0,0,,6,19820101,19831114
132300,GB,Shijiazhuang diqu,Shijiazhuang diqu,0,0,T,6,19831115,19860404
132300,GB,Shijiazhuang diqu,Shijiazhuang diqu,0,0,T,6,19860405,19930618
132301,GB,Xinji shi,Xinji shi,6,3,CNA,0,19860305,19930618
132302,GB,Gaocheng shi,Gaocheng shi,6,3,CA,0,19860727,19930618
132303,GB,Jinzhou shi,Jinzhou shi,6,3,CNA,0,19911130,19930618
132304,GB,Xinle shi,Xinle shi,6,3,CA,0,19921008,19930618
132321,GB,Shulu,Shulu,6,5,,0,19820101,19860304
132322,GB,Jin xian,Jin xian,6,5,,0,19820101,19911129
132323,GB,Shenze,Shenze,6,5,,0,19820101,19930618
132324,GB,Wuji,Wuji,6,5,,0,19820101,19930618
132325,GB,Gaocheng,Gaocheng,6,5,,0,19820101,19890726
132326,GB,Zhao xian,Zhao xian,6,5,,0,19820101,19930618
132327,GB,Luancheng,Luancheng,6,5,,0,19820101,19861201
132328,GB,Zhengding,Zhengding,6,5,,0,19820101,19861201
132329,GB,Xinle,Xinle,6,5,,0,19820101,19921007
132330,GB,Gaoyi,Gaoyi,6,5,,0,19820101,19930618
132331,GB,Yuanshi,Yuanshi,6,5,,0,19820101,19930618
132332,GB,Zanhuang,Zanhuang,6,5,,0,19820101,19930618
132333,GB,Jingxing,Jingxing,6,5,,0,19820101,19831114
132334,GB,Huolu,Huolu,6,5,,0,19820101,19831114
132335,GB,Pingshan,Pingshan,6,5,,0,19820101,19930618
132336,GB,Lingshou,Lingshou,6,5,,0,19820101,19930618
